system   I             system.c:245  al_install_system                [   0.00365] Allegro version: 5.1.12 (WIP)
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.28893] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.28898] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.28904] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.28914] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.28947] added dtor for object 05C812C0, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.28965] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.28972] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29405] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29413] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29419] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29424] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29430] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29434] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29440] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29445] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.29450] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.29455] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.29460] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.29466] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.29471] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.29501] added dtor for object 05C81428, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.29541] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.29548] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.29981] added dtor for object 02E43F28, func 501945BB
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30059] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30066] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30071] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30076] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30082] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30087] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30092] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30097] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.30102] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.30107] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.30112] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.30118] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.30124] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   0.30585] Glyph 24: 43x42 (44x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.31588] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.31598] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:415  cache_glyph                      [   0.34154] Glyph 0 has zero size.
font     D                ttf.c:225  alloc_glyph_region               [   0.34183] Glyph 35: 45x42 (48x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.34490] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.34500] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.36613] Glyph 49: 41x42 (44x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.36744] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.36755] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.37896] Glyph 64: 45x42 (48x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38222] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38232] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.39792] Glyph 53: 43x42 (44x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.39919] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.39928] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.40543] Glyph 66: 45x42 (48x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40759] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40771] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:415  cache_glyph                      [   0.41574] Glyph 1 has zero size.
font     D                ttf.c:225  alloc_glyph_region               [   0.41597] Glyph 21: 46x42 (48x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41722] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41729] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.42327] Glyph 60: 38x42 (40x44)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.42462] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.42471] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43413] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43423] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43429] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43434] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43439] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43444] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43450] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43455] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43460] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.43469] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.43477] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.43484] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.43489] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   0.43684] Glyph 19: 19x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43962] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43973] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:415  cache_glyph                      [   0.44585] Glyph 1 has zero size.
font     D                ttf.c:225  alloc_glyph_region               [   0.44641] Glyph 72: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.44700] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.44708] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.45480] Glyph 83: 18x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45525] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45533] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.45759] Glyph 66: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45799] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45806] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.46028] Glyph 68: 19x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46070] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46077] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.46284] Glyph 91: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46323] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46331] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.46534] Glyph 90: 19x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46575] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46582] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.46822] Glyph 87: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46878] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46888] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.47486] Glyph 84: 19x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47528] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47536] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.47750] Glyph 76: 19x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47790] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47815] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.48015] Glyph 80: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48056] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48064] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.48270] Glyph 78: 21x27 (24x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48308] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48315] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.48525] Glyph 81: 18x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48565] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48572] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.49001] Glyph 86: 18x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49081] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49088] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.49377] Glyph 85: 20x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49416] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49423] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.49649] Glyph 70: 18x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49688] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49696] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.49913] Glyph 69: 18x27 (20x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49968] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49978] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.50203] Glyph 74: 6x27 (8x28)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50247] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50255] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50604] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50615] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50937] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50949] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51164] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51173] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51235] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51244] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51312] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51321] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51387] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51396] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51455] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51465] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51533] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51542] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51610] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51620] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.52117] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.52130] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24666] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24676] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24682] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24688] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24693] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24698] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24703] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24708] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   6.24713] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   6.24718] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   6.24723] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   6.24729] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   6.24735] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   6.24819] Glyph 61: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.24845] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.24852] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.25299] Glyph 36: 15x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.25324] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.25331] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.25630] Glyph 54: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.25656] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.25664] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.25752] Glyph 39: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.25773] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.25782] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.25922] Glyph 60: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.25944] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.25952] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:415  cache_glyph                      [   6.26027] Glyph 3 has zero size.
font     D                ttf.c:225  alloc_glyph_region               [   6.26046] Glyph 42: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.26066] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.26073] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.26177] Glyph 53: 14x15 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.26199] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.26207] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.26772] Glyph 29: 4x12 (4x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.26798] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.26805] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.26905] Glyph 40: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.26934] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.26942] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27027] Glyph 16: 7x4 (8x4)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27048] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27055] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27143] Glyph 51: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27165] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27172] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27260] Glyph 68: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27281] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27289] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27377] Glyph 83: 10x16 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27398] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27406] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27496] Glyph 72: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27516] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27524] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27610] Glyph 85: 7x12 (8x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27630] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27638] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27727] Glyph 37: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27748] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27755] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27841] Glyph 79: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27862] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27870] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.27957] Glyph 87: 6x16 (8x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.27979] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.27989] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.28082] Glyph 82: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.28105] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.28113] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.28198] Glyph 76: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.28219] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.28226] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.28316] Glyph 80: 14x12 (16x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.28338] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.28346] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.28797] Glyph 81: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.28820] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.28827] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.28913] Glyph 70: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.28934] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.28941] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29033] Glyph 77: 6x19 (8x20)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29053] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29061] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29161] Glyph 78: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29182] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29189] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29288] Glyph 90: 17x12 (20x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29310] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29318] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   6.29410] Glyph 92: 13x16 (16x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.29431] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.29438] _al_d3d_sync_bitmap (video) ref count == 1
